ticker,permno,date,comnam,rtype,ptype,psub,caldt,ym,usdret,usdprc,market_equity,assets,sales,net_income,book_equity,debt_at,cash_at,ocf_at,roe,btm,beta,quarter,MORTGAGE30US
SUI,80102,2014-10-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2014-12-31,2014m12,0.0377,60.46,2902.6846,2143.98,445.984,22.661,559.644,0.67434305,0.0035541377,0.06126736,0.0438033710670665,0.1928022084155524,0.9067392247234932,2014Q4,
SUI,80102,2015-01-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2015-03-31,2015m3,-0.0033,66.72,3567.1848,2430.797,469.115,41.583,901.95,0.5734502,0.106611945,0.053322427,0.0438033710670665,0.2528464532729995,0.698698119071631,2015Q1,
SUI,80102,2015-04-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2015-04-30,2015m4,-0.0698,62.06,3320.086,2937.692,472.875,28.509,891.7,0.6236484,0.032426476,0.045382567,0.0438033710670665,0.2685773839012096,0.6367263830519782,2015Q2,
SUI,80102,2015-07-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2015-07-31,2015m7,0.1242,69.51,3738.4565,3844.641,527.16,30.104,1141.203,0.5848679,0.032481838,0.033706658,0.0319715150835482,0.3052604739227773,0.5158201502629234,2015Q3,
SUI,80102,2015-10-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2015-12-31,2015m12,0.0349,68.53,3961.034,4032.849,581.672,40.044,1127.139,0.59054106,0.0029582065,0.0368474,0.0319715150835482,0.2845567692895182,0.4638504566623071,2015Q4,
SUI,80102,2016-01-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2016-03-31,2016m3,0.07,71.61,4191.978,4114.603,635.995,52.129,1162.723,0.6215788,0.0058127115,0.041520167,0.0319715150835482,0.2773686054180363,0.4827056887028368,2016Q1,
SUI,80102,2016-04-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2016-06-30,2016m6,0.1068,76.64,4969.2607,4190.551,682.231,155.446,1455.776,0.559604,0.044334505,0.043493804,0.1067787901435385,0.2929562365463521,0.4250265548110801,2016Q2,
SUI,80102,2016-07-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2016-09-30,2016m9,0.0341,78.48,5466.211,4562.886,701.675,154.72,1810.407,0.5177535,0.08994483,0.042132325,0.1067787901435385,0.3311996459744598,0.3752784704113573,2016Q3,
SUI,80102,2016-10-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2016-11-30,2016m11,-0.0619,72.17,5270.3584,5823.191,719.036,132.732,2033.081,0.5736252,0.0053992732,0.037594166,0.1067787901435385,0.3857576395775544,0.2381668031536221,2016Q4,
SUI,80102,2017-01-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2017-01-31,2017m1,0.0281,78.76,5751.6064,5904.706,783.882,117.556,2334.248,0.52551186,0.011825991,0.038234588,0.1067787901435385,0.405842793117888,0.1740677875308375,2017Q1,
SUI,80102,2017-04-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2017-04-28,2017m4,0.0408,83.61,6169.4985,5870.776,834.278,26.315,2295.577,0.52974975,0.004303349,0.04065783,0.1067787901435385,0.3720848468148384,0.1718193975552222,2017Q2,
SUI,80102,2017-07-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2017-07-31,2017m7,0.0151,89.01,7031.701,5902.447,894.034,39.369,2294.957,0.5320754,0.0018499107,0.043767102,0.011463348866102,0.3263729546023075,0.0694760246220741,2017Q3,
SUI,80102,2017-10-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2017-10-31,2017m10,0.0535,90.26,7161.4995,6178.713,941.134,59.438,2690.98,0.48855692,0.03910944,0.042534426,0.011463348866102,0.3757564991059134,0.0382644544081209,2017Q4,
SUI,80102,2018-01-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2018-03-29,2018m3,0.0516,91.37,7298.179,6157.836,959.178,64.414,2696.026,0.48774067,0.022320827,0.044132713,0.011463348866102,0.3694107638229001,-0.0554150179998327,2018Q1,
SUI,80102,2018-04-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2018-06-29,2018m6,0.0198,97.88,7838.8174,6111.957,982.57,72.183,2598.431,0.5038056,0.00384934,0.04282589,0.0277794561410328,0.331482511004131,-0.038631958766383,2018Q2,
SUI,80102,2018-07-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2018-07-31,2018m7,-0.0094,96.96,7861.7104,6149.653,1006.086,79.327,2593.332,0.50888073,0.0044594384,0.04424461,0.0277794561410328,0.3298686756845091,-0.0007266800654424,2018Q3,
SUI,80102,2018-10-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2018-11-30,2018m11,0.0361,104.1,8990.076,6492.348,1039.613,85.704,2650.988,0.51816094,0.0056683654,0.04732787,0.0277794561410328,0.2948793800085088,0.0417450465603877,2018Q4,
SUI,80102,2019-01-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2019-03-29,2019m3,0.0502,118.52,10236.217,6653.726,1095.019,106.126,3180.438,0.451616,0.01940176,0.051039975,0.0277794561410328,0.3107044319479794,0.173273796669765,2019Q1,
SUI,80102,2019-04-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2019-05-31,2019m5,0.0259,126.27,11449.027,6710.026,1127.471,107.229,3106.823,0.46561712,0.00927895,0.05411514,0.0277794561410328,0.2713613128912068,0.1593643628886443,2019Q2,
SUI,80102,2019-07-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2019-09-30,2019m9,0.0095,148.45,13460.109,7098.662,1157.417,111.565,3078.895,0.4890137,0.0048142876,0.054284878,0.0345140357207346,0.2287421885505579,0.078699400827141,2019Q3,
SUI,80102,2019-10-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2019-10-31,2019m10,0.0957,162.65,15071.312,7222.084,1199.292,131.538,3507.254,0.43345827,0.0063746143,0.05874703,0.0345140357207346,0.2327106053514521,0.0636399244163553,2019Q4,
SUI,80102,2020-01-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2020-02-28,2020m2,-0.0573,152.88,14266.609,7397.854,1238.22,142.476,3499.826,0.44609788,0.005640284,0.062207635,0.0345140357207346,0.2453158930573042,0.101444762462989,2020Q1,
SUI,80102,2020-04-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2020-04-30,2020m4,0.0765,134.4,13120.396,7802.06,1265.411,161.553,3819.724,0.4438193,0.004464206,0.061103605,0.0345140357207346,0.2911287221127891,0.387654357103271,2020Q2,
SUI,80102,2020-07-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2020-07-31,2020m7,0.105,149.93,14733.92,8209.047,1288.047,110.704,3724.862,0.48198968,0.048085973,0.059946787,0.0422944170835379,0.2528086253045269,0.4041156552688535,2020Q3,
SUI,80102,2020-10-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2020-10-30,2020m10,-0.0212,137.63,13526.277,8348.659,1278.104,128.801,4347.564,0.40972677,0.04661994,0.06215573,0.0422944170835379,0.321416156481473,0.4237621535816491,2020Q4,
SUI,80102,2021-01-01,SUN COMMUNITIES INC,2.0,8.0,10.0,2021-01-29,2021m1,-0.058,143.13,15395.493,8335.717,1317.243,152.575,4358.799,0.4042991,0.013859516,0.06512925,0.0422944170835379,0.2831217440146282,0.345982109277852,2021Q1,
